name,company,city,transaction_total
Keith Perez,Rodriguez; Miller and Jordan,Kimside,$520.72
Dr. Christopher Dominguez,James-Mckinney,Port Michaelmouth,$321.14
Andrea Grimes,Torres-Smith,New Tina,$414.12
Sandra Fry,Rosales; Perkins and Ray,Lake Duane,$7312.76
Bruce Miller,Leonard-Phillips,Scottside,$409.84
Lori Garcia,Stanley; Watson and Conway,Isabellamouth,$18196.56
Corey Allen,Larson PLC,South Colleenstad,$532.93
Robyn Gonzalez,Raymond Group,Millerchester,$515685.74
Charlotte Ramirez,Brady-Gamble,East Allison,$121.66
Matthew Barrett,Perkins and Sons,Castillobury,$836.55
Edward Parker,Watts Group,Curtisland,$314.90
Dean Morales,Moore-Stokes,East Kyleport,$382.28
Shelby Gonzalez,Robinson-Parrish,Cameronshire,$789.69
James Mccarty,Tucker PLC,Wheelerland,$818.09
Matthew Golden,Crawford; Goodman and Carlson,Harrisonhaven,$272.99
William Bowers,Harper LLC,New Dariusstad,$740.31
Stephen Brown,Johnson Ltd,Nicholsonton,$8739.21
Mr. Logan Rice,Brown; Glass and Bush,Andrewburgh,$508.05
Deborah Baker,Haney; Perry and Mills,Michaelport,$140.42
Christian Gregory,Baxter-Gardner,Turnerborough,$780.00
Michaela Smith,Garrett Inc,New Pamelabury,$186.75
Tammy Young,May Inc,South Xavier,$623.86
Rebecca Chang,Davis-Serrano,Sandovalchester,$5904.80
Antonio Ramirez,Herrera; Wilson and Fisher,Jeannefort,$777.44
Cory Mills,Cook Inc,Boydport,$140.08
Robert Deleon,Patton Ltd,Joshuafurt,$554.74
Linda Garrison,Stone-Fox,Vanessachester,$226.46
Thomas Pitts,Adams-Sosa,Port Damon,$995.03
Todd Moran,Johnson-Russell,Edwardborough,$1165.60
Daniel Ali,Frost PLC,Harrisonshire,$93180.53
Tonya Barker,Brown; Riley and Wilson,Flemingmouth,$2874.68
Melanie Martin,Santos-Singleton,Sharonshire,$853.88
Troy Ferguson,Holmes; James and Weber,Williamsmouth,$1795.83
Cindy Scott,Mcguire LLC,North Dominiquetown,$990.72
Erika Barrett,Smith-Huerta,East Taylormouth,$7090.28
Danielle Wells,Huff; Sweeney and Reeves,Michellestad,$2701.29
John Foster,Gonzales; Williams and Arnold,Carlsonburgh,$922.32
Frederick Hess,Montgomery LLC,Elizabethfurt,$24.40
Gerald Henderson,Terrell; Mueller and Armstrong,Lake Leslie,$1199.99
Anthony Molina,Wallace-Carter,North Samanthamouth,$806.43
Christopher Rice,Carter; Gordon and Fry,Lake Amanda,$1279.40
Stephanie Allen,Watson-Rios,Marcusside,$8029542.66
Christine Knapp,Jackson Ltd,Brownburgh,$896.86
Suzanne Haley,Collins; Moody and Spencer,West Davidhaven,$1297.87
Anthony Castillo,Soto Inc,Kimberlyshire,$1331.12
Matthew Price,Vang Group,Lawrenceville,$1380.02
Lisa Collins,Chapman-Byrd,Billyside,$3429.43
Megan Melendez,Wade-Avery,Lake Katherine,$281.74
Felicia Lawrence,Ware-Jones,New Adam,$849.61
Antonio Smith DDS,Davis LLC,Gonzalezmouth,$42.84
Monica Smith,Hill; Hester and Henson,Port Marissa,$768.35
Brittany Wheeler,Rodgers Ltd,New Christineberg,$226.13
Jason Guerrero,Contreras and Sons,Andrewstad,$570.07
George Castillo,Taylor-Davis,Christopherville,$742.81
Kayla Duncan,Mack-Burton,East Matthew,$1019.63
Andres Stafford,Martin; Horton and Weber,Curtischester,$1237.72
Thomas Avila,Clark-Taylor,Masonfurt,$682.78
Christine Rivera,Benjamin Ltd,Port Laura,$582.23
Austin Gutierrez,Payne; Delgado and Sharp,South Erica,$910.55
Dustin Lopez,Wright-Guzman,Port Denisemouth,$714.07
Ms. Lisa Smith,Barnett; Clark and Knight,Lake Jaimeland,$1255.25
Christopher Jenkins,Kennedy-Hill,Loweton,$1166.21
Robert Bell,Bennett Inc,Lake Thomasville,$324.05
Donald Strickland,Rollins LLC,Port Mary,$899.30
Calvin Johnston,Schultz; Bird and Maldonado,New Timchester,$382.19
Charles Lewis,Rodriguez-Garcia,New Oscarview,$791.51
Alexandra Palmer,Vaughan-Chung,Jordanview,$910.40
Billy Cook,Hahn; Alexander and Scott,Morganshire,$768.40
Jeremy Torres,Soto LLC,South Omar,$722.42
Gail Price,Pitts-Watson,Robertsport,$623.65
Tyler Ferguson,Brown; Mullen and Vega,Williamsland,$513.91
Nicole Wolfe,Barber LLC,Port John,$188.72
Reginald Wiley,Castillo; Lewis and Reynolds,West Davidchester,$947.27
Ashley Gordon,Faulkner-Johnson,East Christineshire,$647.15
Thomas Murphy,Rodriguez Group,New Ashleychester,$257.71
Hailey Lopez,Rodriguez; Newton and Erickson,East Zacharyport,$396.59
Mrs. Linda Casey,Stephenson-Stevens,Gibbsville,$940.49
Cheryl Cohen,Moreno PLC,Port Elizabeth,$473.10
Ronald Wells,Oconnor; Johnson and Pena,New Emma,$817.36
Edward Horton,Decker PLC,Villaburgh,$314.20
Sean Munoz,Banks Ltd,North Amanda,$749.72
Gary Martin,Clark and Sons,Brandonside,$2311.43
James Gomez,Hess-Martinez,New Marieshire,$1309.63
Charles Harrison,Jennings; Stokes and Ayala,West Jayhaven,$374.49
Mary Steele DDS,Kim Ltd,Port Emily,$1282.87
Lisa Simon,West-Swanson,Lake Dawn,$1765.99
Toni Floyd,Benson-Lopez,Port Yolandaport,$5099873.30
William Warren,Schultz; Wyatt and Santiago,West Lisaberg,$26960.14
Jeff Ramirez,Stanley LLC,Davischester,$983.39
Frederick Rogers,Jones; Ross and Blackburn,North Michael,$1252.72
Kevin Spencer,Gibbs-Vega,Christopherview,$2774.82
Edward Lopez,Guerra and Sons,Phillipston,$19.55
George Manning,Kelly-Caldwell,Port Sarah,$4272882.93
Michelle Douglas PhD,Stewart Group,Maxwellbury,$318.66
Allison Garcia,Jordan LLC,Lynnberg,$9640.55
Adam Mcmahon,Ramos; Buck and Martinez,East Ashley,$1699.43
Travis Sullivan,Robinson-Howard,East Justintown,$559.46
Gary Gill,Long; Weber and Gray,Port Valerieton,$846.00
Patrick Woods,Rodriguez-Lambert,East Kellyfort,$723.71
Samantha Myers,Lyons Inc,Port Mariaville,$752.41
Zachary Hernandez,Hernandez-Garcia,Alanport,$363.35
Ryan Rivera,Gomez; Hoffman and Hunter,Lake Robert,$1758137.33
Rebecca Reyes,Hill; Lynch and Johnson,Lake Johnny,$625.85
David Murillo,Ward and Sons,Carrieshire,$212.07
Anne Matthews,Kennedy-Campbell,Port Douglaschester,$46.42
Anthony Kirk,Savage; Clark and Baker,Jeremytown,$1319.84
Vincent Perez,Williams-Crawford,South Christine,$38.46
Wendy Tucker,Kirby LLC,West Jessicabury,$408.15
Terry Swanson,Stanley-Parker,Dianaport,$1375.64
Brenda Terry,Mcguire-Garcia,Colefurt,$2754.99
Tracy Smith,Sharp-Beck,South Davidport,$12.17
Kenneth Stokes,King-Smith,Robleston,$216.84
Jason Brady,Nichols; Clarke and Ruiz,Fordmouth,$117.88
Kyle Hernandez,Mcgee-Bailey,Cardenastown,$64.46
Jessica Johnson,Stevenson-Lloyd,Williamsonstad,$690.32
Brian Graves,Vazquez Group,New Williamland,$764.53
Christopher Zamora,Tate Ltd,Mullenmouth,$1809.18
Zachary Kemp,Kemp-Wagner,Kennedyville,$10.81
Crystal Malone,Blair-Pitts,Jonesview,$603.03
Allison Peterson,Simmons Ltd,New Alan,$296.50
Angela Thomas,Kelly-Newman,Freemanton,$762.11
Sheryl Johnson,Martinez Group,Hansonfurt,$1866.07
Zachary Roberts,Jennings; Randolph and Bell,Teresamouth,$2172.56
Scott Davila,Davis LLC,South Melissamouth,$744.20
Shannon Silva,White PLC,Waynefurt,$1371.28
Beth Williams,Ramirez Inc,Jamieberg,$1348.05
Bradley Hernandez,Aguirre Group,Millerton,$845.94
Veronica Martin,Johnson; Peters and Smith,North David,$1565.51
Kristine Hess,Jackson-Hayes,Lake Kristintown,$42.25
Bobby Smith,Bush; Cooper and Rice,Lake Matthewborough,$167.84
Lisa Valentine,Sullivan-Rodriguez,Williammouth,$301.57
James Cardenas,Robinson; Dawson and Spencer,South Mollyside,$2410.89
Ashley Mann,Ferguson; Mendez and Simmons,Williamshire,$608.23
Jesse Fisher,Golden-Ali,Port Hannah,$444.18
Melinda Bradley,Harrison-Richards,West Jasonport,$1727.78
Alexander Wilson,Torres-Allen,Jeremymouth,$2202.16
Philip Smith,Adams PLC,South Abigailstad,$962.35
Stanley Rojas,Davis; Camacho and King,Lake Isaiah,$1312.36
Bonnie Lawson,Logan-Morgan,North Carolyn,$68993.32
Kimberly Christensen,Myers; Dixon and Johnson,New Veronica,$686.89
Marcus Johnson,Short; Stone and Oneill,New Robinbury,$360.89
Adrian Graham,Williams; Jones and Porter,North Matthew,$1466.26
David Waller,Matthews; Hawkins and Walker,West James,$132.90
Jennifer Thompson,Baldwin Ltd,North Gregory,$54756.07
Whitney Brooks,Wright-Hunter,North Loganfort,$887.79
Caleb Ali Jr.,Brooks Ltd,Port Trevor,$492.02
Michael Mann,Payne-Evans,Lake Angela,$1196.41
Taylor Brooks,Kim; Fuller and Johnson,New Lauren,$426.06
Allison Fleming,Peterson LLC,Hensleyview,$662.33
Caleb Sanchez,Ross Inc,North Rachael,$2363.02
Justin Valentine,Obrien PLC,Teresastad,$3671.91
Craig Morris,Escobar; Adams and Doyle,Michealmouth,$2662.47
Marie Mills,Navarro; Perkins and Gonzalez,Lake Bonnie,$693.74
Mandy Gonzalez,Santiago; Williams and Myers,East Mary,$806.39
Melissa Dougherty,Vaughn LLC,East Tony,$415.57
Daniel Duke,Schneider PLC,East Carlachester,$373.35
Deborah Owens,Byrd LLC,West Stevenside,$115.30
Scott Burns,Wheeler Group,Evansstad,$1941.72
Phillip James,Aguirre; Hess and Williamson,Bryanfurt,$286.29
Andre Gonzalez DVM,Berry; Ellis and Rodriguez,South Rickytown,$951.70
Deborah Moore PhD,Luna; Peterson and Green,Amandahaven,$585.01
Justin Thompson,Walker-Jones,Wadeside,$712.88
Kevin Sanders,Wiggins; Powell and Quinn,East Kelli,$887.54
Sean Blackburn,Mora-Johnson,East Jenniferhaven,$6759354.05
Stacey Olson,Williams Ltd,Wheelerfurt,$88.76
Eric Nguyen,Jackson PLC,North Laura,$7205166.79
Cynthia Henderson,Wall-Elliott,Nelsonfort,$2766.40
Andrea Miller,Ferguson; Mooney and Wilson,Mannmouth,$608.26
Marilyn Jensen,Sosa; Jones and West,Christopherfurt,$23732.58
Stacey Bean,Nguyen Ltd,Lake Cassidy,$349.50
Wesley Weber,Kelly PLC,East James,$1910.44
Charles Jacobs,Johnson; Henderson and Smith,Port Michelle,$367.15
Lindsay Ferguson,Larson; Michael and Robinson,East Shannon,$221.17
Taylor Sexton,Owens-Evans,West Ryantown,$362.60
Thomas Rollins,Gonzalez and Sons,Port Melissaton,$714.82
Jeremy Fisher,Harvey; Humphrey and Miller,South Dawnmouth,$387.35
Caitlin Graves,Miles Ltd,South Jerome,$1223.90
Michael Odonnell,Bailey-Johnson,North Daniel,$2978.18
Rhonda Branch,Hughes; Hill and Ortiz,Meganstad,$1097.51
Rachel Keller,Stephens-Hughes,Port James,$7266.78
Phillip Lopez,Bailey LLC,Stephensshire,$987.54
Nicholas Abbott,Johnson Group,Marquezport,$837.49
Travis Miller,Castillo; Jones and Bowen,Josephbury,$1637.72
Pamela Williams,Rocha-Morgan,Wilsonberg,$272.18
Jordan Castro,Richardson; Scott and Christensen,Noahstad,$713.70
Janet Perry,Lyons PLC,Lake Davidport,$1795.66
Jeffery Ward,Harris LLC,Lake Brianside,$158.01
Shelby Jackson,Liu Group,Thompsonmouth,$1995.34
Robert Russo,Russell; Brown and Small,East Matthew,$848.50
Sarah Miller,Butler-Munoz,Lake Allison,$996.43
Erik Chavez,Peterson PLC,Ariasshire,$271.99
Gene Montgomery,Alexander PLC,Lake Robertborough,$1308.61
Matthew Daniel,Wagner-Russell,Lake Gwendolyn,$442.66
Jordan Smith,Chavez; Holmes and Thomas,Sandersmouth,$70377.49
Thomas Webster,Wright; Garcia and Chandler,Mendezfort,$898.25
Charles White,Williamson-Macias,Marychester,$612.02
Tiffany Wilson,Morgan-Fisher,New Nancy,$388.71
Courtney House,Avery; Brown and Williams,New Meganfort,$493.60
Connie Ross,Garcia-Wells,North Kathy,$893.98
Jonathan Smith,Simpson-Luna,Jameston,$852.87
Tammy Tyler,Williams Inc,Careymouth,$1158.79
Brandon Fletcher,Fowler-Chang,Perezborough,$776.86
Jill Hicks,Graham-Hart,Myersville,$1083.55
Jason Wright,Pratt; Davenport and Johnson,West Toddfurt,$697.33
Denise Gonzalez,Navarro; Pratt and Williams,Rachelmouth,$472.54
Charles Howell,Cooper; Rowe and Yang,Shannonfurt,$43.10
Stephanie Murphy,Wright-Turner,Hayesview,$93.83
Jeffrey Ramos,Greene; Walter and Walters,North Peterborough,$687.07
Allen Conley,Armstrong; Franklin and Ramirez,East Jamesmouth,$978.06
Tiffany Porter,Acevedo-Wood,Cummingshaven,$248.33
Kristen Wood,Smith Inc,Schneiderview,$835.05
Steven Garza,Willis LLC,Wadechester,$184.28
Elizabeth Ryan,Robinson-Santiago,Monicastad,$995.19
Andre Nielsen,Conrad-Anderson,Farleyview,$1131.35
Teresa Mccarthy,Ray Group,Lake Sethborough,$833.15
Brian Bartlett,Hendrix LLC,Kristenton,$1660.33
Carly Owens,Brown and Sons,New Josebury,$694.03
William Calhoun,Davis Ltd,North Sandymouth,$661.49
Tim Clark,Brown and Sons,Berryport,$580.61
Sally Baker,Wheeler-Blankenship,Mckinneyshire,$524.66
Kathryn Walters,Price PLC,Rodriguezstad,$84.78
Edward Young,Cook and Sons,Latoyaport,$472.14
Joseph Robinson,Young Ltd,Bradleyberg,$1352.50
Richard Taylor,Valdez Group,Port Julia,$1013.69
William Hodges,Manning-Lewis,Courtneyhaven,$1001.64
Mark Blair,Anderson Ltd,Lake Jonathonview,$995.52
Amy Ramirez,Payne; Garza and Powell,Nealport,$354.65
Jessica Young,Wolfe; Daniels and Ortiz,South Monica,$6518059.12
Janice Stanley,Jackson Inc,East Caitlin,$987.14
Jared Hall,Stewart; Farrell and Singh,New Robertfurt,$745.18
Christopher James MD,Edwards and Sons,Veronicafurt,$532.25
Brian Estrada,Arnold-Garcia,South Samantha,$585.78
Heather Washington,Cline PLC,Vasquezville,$234.08
James Burch,Smith Inc,Harriston,$614.79
James Dominguez,Murphy LLC,Kyleborough,$59.32
David Schwartz,Franco-Chapman,Lisachester,$1459.80
Melissa Clements,Owens-Lloyd,South Destinyhaven,$744.66
Deborah Santiago,Hamilton; Wong and Gallegos,Angelafurt,$1317.32
William Greene,Frost and Sons,Port Dawnland,$1365.01
Sharon Burton,Sullivan-Hill,Jamesport,$819.05
Manuel Lee,Decker-Arnold,South Nathaniel,$2812.03
Andrew Carter,Woodard; Owens and Martinez,Bradmouth,$290.92
David Smith,Glass; Stone and Brown,Heathberg,$634.74
Daisy Wade,Huber-Williams,Trantown,$783.65
Stacy Joyce,Long-Shepard,West Julieview,$1400.80
Mr. Charles Cole,Baker LLC,East Heather,$225.85
Willie Rodriguez,Marquez; Hoffman and Chavez,Barkerland,$187.86
Timothy Morales,Henderson-Kelly,Fuentestown,$621.91
Destiny Smith,Schmidt; Ruiz and Carroll,Lake Gabrielmouth,$958.76
Steven Escobar,Ross-Cooke,Alanchester,$1388.79
Julie Ward,Davies Group,New Daniel,$1430.32
Caitlin Esparza,Pena-Schaefer,Barrettside,$631.98
Nathaniel Murray,Brown Group,Zacharymouth,$205.71
Sarah Aguirre,Graves Inc,East Danieltown,$459.40
Laura Hernandez,May-Miller,Port Lorihaven,$1125.89
Alexis Edwards,Price-Russell,Port Natalie,$280.64
Hector Williams,Carter; Hernandez and Mckay,West Samantha,$400.67
David Wolfe,Weiss-Perez,Andrewfort,$526.16
Nicholas Aguilar,Hurley; Murphy and Ellis,Whiteville,$198.17
Lisa Sanders,Knapp PLC,Jamestown,$693.00
Angela Wiley,Keller Inc,Michaelfurt,$482.65
Seth Greene,Miller; Campbell and Morgan,North Cody,$438.69
Jeffrey Adams,Roach-Ramos,Shawtown,$88411.54
Antonio Flores,Robinson LLC,Hudsonland,$52426.45
Nicole Henson,Lindsey-Miller,Barbarashire,$1764.78
Austin Jones,Rivas Inc,Port Johnny,$48.44
Eric Esparza,Phelps; Wilson and Smith,New Julieport,$1884.24
James Hancock,Pierce; Lee and Vincent,Rogerstown,$844.11
Alexandra Holland,Li; Jacobs and Medina,Samanthaburgh,$1022.62
Kent Romero,Ho LLC,West Andreamouth,$218.19
Ellen Smith,George LLC,Tranmouth,$417.50
Mr. Brad Rodriguez,Patterson; Morrison and Cross,Barnesstad,$16.20
Arthur Moran,Vaughn-Edwards,Lake Thomasmouth,$4243.62
Brad Greer,Ewing and Sons,North Victor,$66.59
Jennifer Anderson,Watson; Myers and Wells,Woodsborough,$582.88
Alexa Molina,Evans; Dixon and Moore,Seanton,$587.07
Terry Spence MD,Carrillo; Shaw and Jacobs,Perkinshaven,$806.95
Ruth Cabrera,Smith Group,Ethanfort,$3776545.02
Kayla Brown,Simon-Baker,New Theodoremouth,$843.66
Daniel Burns,Schmidt-Richards,East Terrifort,$5129.08
Melissa Jimenez,Walter; Mann and Carr,Port Derek,$773.25
Rachel Brown,Webster-Meyers,Lake Anne,$132.72
Brian Cole,Barajas; Hester and Mullen,New Kristenmouth,$312.80
Mrs. Lindsey Abbott,Wright-Griffin,Watsonberg,$996.96
Kim Stanley,Smith Ltd,Port Holly,$909.76
Edward Thompson,Gill; Wiley and Mills,East Alexbury,$1272.30
Lindsay Silva,Jackson-Phillips,East Ginaborough,$678.89
Monique Randolph,Oconnor LLC,Petersenton,$1875.49
Erin Knight,Herrera PLC,Lake Antonioborough,$1213.17
Robin Conway,Holland-Gonzalez,New Timothychester,$6.18
William Hoffman,Price; Payne and Patton,Paulamouth,$969.87
Teresa Burnett,Mitchell-Mcguire,East Andrew,$52.76
Patrick Glass,Prince PLC,Coxmouth,$1497.95
Bethany Phillips,Mccormick-Rogers,Davisbury,$8211.73
Christopher Reyes,Bowen; Phillips and Young,West Amymouth,$1760.78
Lori Ritter,Taylor PLC,East Melanie,$171.47
Mark Hahn,Reynolds; Ramos and Higgins,Johnmouth,$5809.45
Cynthia Raymond,Knight Ltd,Susanstad,$534.83
Ashley Adams,Bass-Molina,Lake Courtneymouth,$47368.18
Andrea Mcdonald,Luna Group,Amandafurt,$77.60
Karen Thomas,Scott-Watkins,Port Alexander,$754.99
Francisco Calderon,Sanchez LLC,Port Brittany,$1415.59
Kevin Delacruz,Aguilar Inc,Morganton,$993.98
Monica Jenkins,Wallace; Tapia and Avila,East Donald,$744.86
Margaret Cole,Smith-Hayes,Amandamouth,$152.90
Mary Jacobs,Rivas LLC,North Joshua,$1033.15
Steven Gomez,Massey Ltd,Adamton,$211.97
Thomas Martin,Hatfield; Henderson and Chavez,Morenomouth,$1026.24
Christopher Thompson,Perez and Sons,Joshuaside,$102.14
Shannon Rodriguez,Horn and Sons,Davisland,$859.98
James Meyers,Marsh PLC,Phyllisland,$1049.42
Samuel Jackson,Butler; Martin and Murphy,East Brian,$852.35
Jordan Jones,Castro Ltd,East Kenneth,$5.66
Jonathon Taylor,Patton Group,Lake Daniel,$849.10
Craig Ross,Evans PLC,Port Melissa,$1069.92
Jose Bishop,Floyd-Branch,Lake Paulborough,$876.78
Jodi Morales,Lopez-Morris,East Christopher,$5812.61
Carolyn Stewart,Fleming Ltd,Jeremyville,$1218.09
Richard Kane,Flores-Oconnell,Woodburgh,$235.80
Dr. Kelsey Becker,Marquez; Lawson and Massey,Anashire,$534.81
Ian Underwood,Golden; Webb and Meyer,South William,$750.51
Antonio Russell,Nicholson; Lee and Baldwin,Lake Donnafurt,$385.10
William Barrera,Park; Simmons and Taylor,West Lisa,$799.98
Debra Edwards,Glenn; Cunningham and Cooper,Port Ericatown,$32.02
Charles Lopez,Alexander; Kim and Johnson,Lake Sarahchester,$867.18
Sherry Foster,James; Vasquez and Mora,New Seanmouth,$992.50
Frank Walsh,Guzman PLC,Brownchester,$621.11
Jennifer Nelson,Crawford-Boyd,Blackburnmouth,$1490.69
Brandon Grant,Kelley Inc,East Susanfurt,$2014.45
Frank Lucas,Taylor Inc,Stacybury,$75.20
Jennifer Medina,Carr-Stevens,Jessicabury,$878.43
Jennifer Guzman,Branch-Jones,Kariview,$1201.09
Nancy Russell,Evans Ltd,Kellyfort,$628.00
Corey West,Mcneil; Torres and Russell,Wilsonmouth,$882.88
Jeffrey Suarez,Pierce Group,Shepherdview,$435.67
Jeremy Ortiz,Hernandez PLC,South Philipfort,$1372.57
Jeffrey Hamilton,Blanchard; Hill and Ayala,Lake Danielfurt,$65.87
Chad Wagner,Edwards-Parker,Davidshire,$884.66
Timothy Cuevas,Kim and Sons,Erikberg,$642.94
Sandra Wilcox,Johnson-Peterson,Port Michaelport,$122.52
Robert Hernandez,Singleton; Cantrell and Mitchell,Michaelmouth,$8615661.69
Katelyn Moore,Griffin; Lopez and Murphy,Jaredville,$140.63
Gregory Harvey,Price-Villa,Edwardchester,$1345.95
Micheal Jones,Johnson-Hughes,Marilynport,$1187.29
Mrs. Leah Snow,Gray; Booker and Johnson,East Joseport,$54671.31
Patricia Hernandez,Franklin; Juarez and Bell,West Lindaville,$449.64
David Simpson,Wilson Group,Timothyville,$1285.40
Natalie Rodriguez,Smith; Castaneda and Lawrence,Rochamouth,$140.12
Michelle Lawrence,Anderson Inc,Lake Brookefort,$904.78
Susan Owens,Lozano Group,Rivasburgh,$511.12
Melissa Holmes,Harris; Franklin and Lucas,East Samanthaberg,$881.35
Mark Mckinney,Carlson PLC,New Stephanie,$121.23
Angela Watts,Evans Inc,Thomasbury,$1762.84
Michael Mcclure,Garcia and Sons,Tiffanyland,$1157.80
Alicia Morgan,Mercado-Flores,Leeport,$744.39
Patricia Clay,Stevens Inc,Lawsonstad,$153.97
George Cain,Rush-Perry,Lake Jennifer,$191.24
Rachel Harris,Watson; Martinez and Harris,Mistybury,$2551.68
Jonathan Walsh,Hughes Ltd,Catherineport,$955.93
Troy Goodwin,Hoover; York and Branch,Zimmermanville,$410.55
Holly Smith,Scott; Peters and Heath,Lake Mary,$1316.81
Jessica Wilcox,Franklin-Long,West Matthewchester,$6548.68
Aaron Smith,Thompson; Fields and Scott,Burnsville,$2901626.62
Michelle Garcia,Gonzalez LLC,Jamesshire,$3701439.99
David Martin,Cabrera-Patterson,Madisonfurt,$769.82
Linda Gordon,Mckee; Lyons and Miller,South Christopherfort,$106.66
April Wilson,Moody-Watson,West Gloria,$442.35
Ashley Ward,Vincent-Hoffman,Lake Victoria,$2192.61
Kristin Caldwell,Hawkins Inc,Lake Duane,$842.19
Micheal Bass,Todd; Fox and Carter,Meganmouth,$1297.17
Mrs. Jessica Melendez,Jones Ltd,Leetown,$1379.99
Dale Brown,Fernandez-Bowers,North Brianstad,$465.71
Jeremy Hill,Parker-Vasquez,East Alexandriastad,$801.06
Bradley Jones,Butler; Johnson and Brown,Anneville,$825.51
Christina Ortiz,Delgado-Perez,East Jenniferstad,$187.75
Frank Alexander,Acosta-Gentry,South James,$1989.50
Sydney Hernandez,Young Ltd,East Madison,$204.73
Lisa Johnson,Harvey; Lopez and Torres,Morrisbury,$1195.67
Roy Franklin,Arnold; Romero and Jones,South Megan,$115.34
Brian Livingston II,Guerrero PLC,Brianfurt,$473.70
Christopher Fowler,Carrillo-Smith,Kelleyfort,$747.05
Rachel Alvarez,Bailey LLC,North Stephenshire,$1682.82
Kelly Williams,Bradley; Bennett and Perkins,Vincentland,$226.35
Jennifer French,Smith; Decker and Watson,Riveratown,$661.87
Kevin Wade,Soto-Collier,Kennedyshire,$467.87
Joanne Smith,Miller-Williams,Solomonland,$798.42
Sarah Cross,Allen-Buchanan,New Christopherfort,$193.88
Tracy Dillon,Lewis-Kirk,East Kimberlyfort,$462.85
Eric Oconnor,Burke-Le,South Tiffany,$1896.01
Nathaniel Jefferson,Simpson; Hampton and Kennedy,Port Natasha,$78.00
Richard Smith,Fischer; Peters and Hall,New William,$379.24
Joseph Anthony,Campos Group,New Kelly,$281.81
Shannon Parsons,Taylor-Bass,Kelleyside,$218.93
Martin Parker,Caldwell; Barker and Reeves,Taylorview,$686.86
Vickie Stewart,Walls-Hull,East Andrewbury,$2057.34
Charles Dorsey,Mendoza and Sons,North Garrett,$607.33
Joseph Huber,Hoffman; Silva and Wilson,East Cindy,$1005.37
Robert Kennedy,Curry; Hunter and Frank,West Kevintown,$1005.87
Mr. Kevin Gill,Brown; Maxwell and Bender,Parksbury,$1707.62
Jordan Allen,Jones; Mora and Briggs,Lake Eric,$175.04
Jack Miller,Green; Fitzgerald and Li,East Ericton,$514.29
Adam Myers,Hughes; Underwood and Clark,New Kennethton,$454.04
Mary Nelson,Brown-Johnson,East Helen,$1279.23
Christina Carpenter,Mcbride; Spencer and Ashley,North Sarah,$41604.24
Meghan Vargas,Alvarez Ltd,Port Raymondmouth,$2875.90
Johnny Wright,Luna; Jones and Kennedy,South Wesleyville,$102.90
Austin Hill DDS,Schmidt-Sims,Gonzalezfort,$730.63
David Higgins MD,Osborne; Davis and Nielsen,Port Lindsay,$38785.58
Eileen Walter,Ramirez-Austin,Jessicahaven,$4.06
Cynthia Brown,Hall Ltd,South Annaside,$613.66
Amy Cooley,Boyd; Forbes and Hayes,East Diana,$9116200.38
Dustin Cisneros,Meyer; Mckinney and Thomas,Waltersland,$583.39
Debra Carter,Perkins; Poole and Carney,Cruzmouth,$1340.81
Melissa Mason,Wheeler Inc,Shawland,$867.70
Christy White,Freeman Inc,Wilsonborough,$763.47
Rachel Mathews,Manning-Mcpherson,Tinafurt,$240.81
Nancy Warner,Mclaughlin LLC,Justinhaven,$533.57
Paul Macdonald,Martinez and Sons,Diazstad,$1414.74
Kevin Kane,Calhoun; Morton and Roberts,Port Ericberg,$566.21
Karen Payne,Miller Inc,Anthonyport,$727.56
Martha Camacho,Freeman Group,Hopkinstown,$98444.62
Erica Davis,Smith LLC,North Nicholasside,$482.34
Glen Ross,Galvan; Watts and Kennedy,Port Brenda,$1440.12
Richard Patterson,King; Juarez and Reyes,Sheltonbury,$983.68
Richard Padilla,Meyer-Russell,Meganfort,$315.91
Catherine Ramirez,Walker; Ball and Wright,Russochester,$1073881.05
Brian Trevino,Adkins-Goodwin,Franklinfurt,$3047.68
Tracy Velazquez,Barrera; Thornton and Ferguson,East Courtneyville,$779.41
Hannah Randall,Hughes; Guzman and Fowler,Charlesbury,$341.94
Ronald Ford,Herman-Schultz,Mollyhaven,$9242.27
Ashley Payne,Nash and Sons,Markmouth,$1145.88
Miguel Fields,Garcia; Brooks and Howard,Port Laurenborough,$1414.10
Scott Esparza,Melton LLC,Danaside,$100.24
Katrina Cooper,Knight; Martinez and Baker,West Donnashire,$997.68
Katherine Mcdonald,Shaffer Inc,Port Denise,$1116.55
Sara Adams,Shah Ltd,Lisashire,$379.02
Rebecca Lopez,Estrada-Johnson,South Brandon,$1526.23
Allen Sanders,Lopez; Allen and Hopkins,South Rachel,$898.73
Shelby Murphy,Smith-Kennedy,West Lisahaven,$639.14
Christine Porter,Santana; Golden and Beltran,Vaughnburgh,$1864.44
James Hawkins,Dillon-Ramirez,East Rebekah,$4170.65
Joshua Hubbard,Austin-Castaneda,East Jeffery,$1320.82
Joe Gardner,Anderson; Hansen and Gallagher,Brucetown,$1667.05
Adam Henderson,Mccormick-Moreno,Davidberg,$663.34
Derek Yoder,Wilson PLC,Barbarahaven,$662.88
Kevin Garcia,Martinez; Smith and Thomas,West Zacharyborough,$1410.20
Michael Brooks,Bowers; King and Hill,Michelleview,$773.73
Alex Gamble,Reynolds LLC,East Frank,$92.17
